,code
Central refuge,0
Footbridge or subway,1
No physical crossing facilities within 50 metres,2
Pedestrian phase at traffic signal junction,3
"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",4
Zebra,5
unknown (self reported),6
